id,expression,source,idea,confidence,offered_terminals,is_ic,is_icir,is_tstat,is_sharpe,turnover,coverage,n_terminals,depth
26,"add(cs_rank(cs_roa), neg(cs_rank(cs_accruals)))",debate,core quality spread,4,"cs_accruals,cs_asset_growth,cs_roa,de_ratio,inv_turn,pe_exi,price",0.012138578338264677,0.1698138062249396,8.93582128315921,1.162586855686028,0.006254465314442616,0.37388163989511203,2,3
51,"add(cs_rank(cs_earnings_growth), add(cs_rank(cs_gp_at), neg(cs_rank(capei))))",debate,Growth Quality,4,"at_turn,capei,cs_earnings_growth,cs_gp_at,market_cap,open,volume",0.010712155106548058,0.14301234571083923,7.525493898091291,2.0045251710869363,0.004725781066276542,0.40549236590971954,3,4
52,"add(add(cs_rank(cs_earnings_growth), cs_rank(cs_gp_at)), neg(cs_rank(capei)))",debate,Growth Quality,4,"at_turn,capei,cs_earnings_growth,cs_gp_at,market_cap,open,volume",0.010712155106548058,0.14301234571083923,7.525493898091291,2.0045251710869363,0.004725780914390792,0.40549236590971954,3,3
168,"sub(add(cs_rank(cs_sales_growth), cs_rank(cs_roe)), abs_val(sub(cs_rank(cs_sales_growth), cs_rank(cs_roe))))",debate,growth quality,4,"bid,capei,close,cs_roe,cs_sales_growth,dollar_volume,shrout",0.011974550100314663,0.14194887392364028,7.469532642399844,0.9730757318371667,0.003900308738754784,0.4354827878168591,4,4
123,"add(add(cs_rank(at_turn), cs_rank(opmbd)), neg(cs_rank(cs_accruals)))",debate,quality resilience,4,"at_turn,cs_accruals,cs_sales_growth,de_ratio,opmbd,price,quick_ratio",0.008785193894547941,0.13502729743490374,7.105310369334847,0.6790812157642253,0.006482017547687204,0.37234226040575846,3,3
154,"add(cs_rank(cs_ep), sub(cs_rank(roce), cs_rank(de_ratio)))",debate,quality value composite,4,"ask,cs_earnings_growth,cs_ep,de_ratio,inv_turn,low,roce",0.011286053332319303,0.1328287147382124,6.989618115032177,0.7002099538014442,0.0030547437813818086,0.43708352507636505,3,3
153,"add(add(cs_rank(cs_ep), cs_rank(roce)), neg(cs_rank(de_ratio)))",debate,quality value composite,4,"ask,cs_earnings_growth,cs_ep,de_ratio,inv_turn,low,roce",0.011285862225606812,0.13282674747669254,6.989514595196249,0.7001629007034811,0.0030558269706553415,0.43708352507636505,3,3
157,"add(add(cs_rank(roce), cs_rank(cs_ep)), neg(cs_rank(de_ratio)))",debate,quality value composite,4,"ask,cs_earnings_growth,cs_ep,de_ratio,inv_turn,low,roce",0.011285862225606812,0.13282674747669254,6.989514595196249,0.7001629007034811,0.0030558269706553415,0.43708352507636505,3,3
155,"add(cs_rank(roce), add(cs_rank(cs_ep), neg(cs_rank(de_ratio))))",debate,quality value composite,4,"ask,cs_earnings_growth,cs_ep,de_ratio,inv_turn,low,roce",0.011285764523304355,0.13282530305370308,6.989438587797451,0.7001880441868202,0.003054819412552005,0.43708352507636505,3,4
142,"add(add(cs_rank(cs_earnings_growth), cs_rank(cs_roe)), sub(cs_rank(at_turn), cs_rank(debt_at)))",debate,Quality Value,4,"at_turn,bm,cs_earnings_growth,cs_roe,debt_at,dollar_volume,shrout",0.011487763162959175,0.1314050508474294,6.914703086754249,0.9752317493177712,0.0037721333327323,0.43563594067621575,4,3
166,"add(cs_rank(cs_sales_growth), cs_rank(cs_roe))",debate,growth quality,4,"bid,capei,close,cs_roe,cs_sales_growth,dollar_volume,shrout",0.012154934295069197,0.12554284544207794,6.60622628506239,1.0428467024684964,0.003926390064657409,0.4354827878168591,2,2
27,"add(add(cs_rank(cs_roa), neg(cs_rank(cs_accruals))), neg(cs_rank(cs_asset_growth)))",debate,core quality spread,4,"cs_accruals,cs_asset_growth,cs_roa,de_ratio,inv_turn,pe_exi,price",0.009284536342728572,0.12543300472042104,6.600446324762583,0.926898390298286,0.005687733479656092,0.37232474686900235,3,4
44,"add(add(cs_rank(at_turn), cs_rank(gprof)), cs_rank(cs_earnings_growth))",debate,Quality Efficiency,4,"at_turn,bm,cs_current_ratio,cs_debt_at,cs_earnings_growth,gprof,open",0.012833669164546181,0.1105105127677454,5.815205571064033,1.186209736132099,0.0029823111309991075,0.43563231718585244,3,3
69,"add(cs_rank(npm), neg(cs_rank(cs_accruals)))",debate,Cash-Backed Value,4,"bm,cash_ratio,cs_accruals,cs_rd_sale,dollar_volume,high,npm",0.008385498093958646,0.10638728099867395,5.598235802724575,0.47690184623896437,0.006201524009546857,0.37237547573408897,2,3
112,"add(add(cs_rank(cs_opmargin), cs_rank(cs_cash_at)), neg(cs_rank(cs_accruals)))",debate,Cash Quality,4,"cs_accruals,cs_cash_at,cs_leverage,cs_opmargin,cs_sp,open,shrout",0.008153507797960232,0.09555529776578102,5.028242888349318,0.9654703716755902,0.005204706142631716,0.3728683912065136,3,3
10,"add(cs_rank(volume), cs_rank(bid))",debate,resilience quality,4,"bid,cs_current_ratio,cs_rd_sale,cs_roe,cs_sp,rect_turn,volume",0.01227579289122807,0.09522499444379065,5.010861901961026,0.4563844318067519,0.05375275768692056,0.4679710024144524,2,2
18,"add(neg(cs_rank(cs_accruals)), add(cs_rank(cs_current_ratio), cs_rank(roe)))",debate,innovation quality,3,"cs_accruals,cs_current_ratio,cs_rd_sale,cs_sp,price,rect_turn,roe",0.007365738618407567,0.09520067434885855,5.009582147230042,0.9598130288945494,0.005162915233885126,0.3708034848314654,3,3
38,"add(add(cs_rank(roe), cs_rank(cs_current_ratio)), neg(cs_rank(cs_accruals)))",debate,quality distress spread,4,"cs_accruals,cs_current_ratio,dollar_volume,pe_op_dil,rect_turn,returns,roe",0.007365738618407567,0.09520067434885855,5.009582147230042,0.9598130288945494,0.005162915233885126,0.3708034848314654,3,3
45,"add(add(add(cs_rank(at_turn), cs_rank(gprof)), cs_rank(cs_earnings_growth)), neg(cs_rank(cs_debt_at)))",debate,Quality Efficiency,4,"at_turn,bm,cs_current_ratio,cs_debt_at,cs_earnings_growth,gprof,open",0.010374590212439368,0.09401506607184122,4.947193912075431,0.8699334960252096,0.002823452196365735,0.43563231718585244,4,4
23,"add(add(cs_rank(at_turn), cs_rank(gpm)), add(neg(cs_rank(cs_accruals)), cs_rank(cs_sales_growth)))",debate,quality growth,4,"at_turn,cash_ratio,cs_accruals,cs_sales_growth,cs_sp,gpm,high",0.01052987774314753,0.09333631618661742,4.911477218567657,0.9791394787289545,0.0051664547123673275,0.371554392817759,4,4
7,"mul(add(cs_rank(cs_current_ratio), cs_rank(cs_roe)), cs_rank(volume))",debate,resilience quality,4,"bid,cs_current_ratio,cs_rd_sale,cs_roe,cs_sp,rect_turn,volume",0.00769977525808455,0.09250943705371334,4.867965773187197,1.5975982129408783,0.06095891603818127,0.3742023187922665,3,3
